Image,Nom,Description,Pouvoir,Niveau,PV,Att Phys,Def Phys,Att Mag,Def Mag,PA,PM,Initiative,XP,Butin,Localisation
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1462127756960/univers/ludus/bestiaire/kobold3.jpg?height=200&width=157,Roi Kobold,"Seigneur Kobold, il impose ses volontés à son peuple grâce à sa force. ",  Ses PA lui permette d'attaquer deux fois par tour., 5,, 20, 8, 4, 8, 6, 5, 200, 30,"6 : Poignard en Fer
7 : 100 crédits
8 : Poignard en Fer",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1462551997717/univers/ludus/bestiaire/dragons-006-dragon-chevalier.jpg?height=200&width=149,Petit dragon de Terre quasi inoffensif,"Bébé dragon sortant de l’œuf, le plus faible des dragons que l'on puisse rencontrer. Celui ci possédant des sorts Terre.", Tremblement de Terre, 5,, 10, 8, 5, 8, 5, 3, 160, 40,"2 : Écaille de Dragon
4 : Griffe de Dragon
10 : griffe de Dragon
12 : Écaille de dragon",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464003836455/univers/ludus/bestiaire/aspics.jpg?height=179&width=200, Aspic,Créature discrète et dangereuse. Elle n'hésite pas à attaquer les plus grosse créature qu'elle.," Peut empoisonner lors d'une attaque classique. Lancer un dé lors de 
l'attaque, s'il fait 6 l'avatar recevant l'attaque est empoisonné. Peut utiliser Nuage de Poison si deux ennemis sont dans sa zone. ", 7,, 18, 10, 10, 10, 4, 5, 150, 50,"7 : venin
12 : peau de serpent",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464025237912/univers/ludus/bestiaire/poulpe.jpg,Poulpe des Plages,Se déplace sur la plage pour se nourrir de petits crustacés ou d'aventurier, Étreinte, 7,, 18, 10, 10, 10, 5, 3, 150, 30,7 : Tentacule de Poulpe,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464024859438/univers/ludus/bestiaire/Poulpe%20agressif.jpg?height=151&width=200,Poulpe Agressif,"S'attaque régulièrement aux nageurs, En groupe, ils s'attaquent même aux navires.", Étreinte, 8,, 20, 15,15 ,20 , 5, 3, 150, 50,5 et 9 :Tentacule de Poulpe,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464011265369/univers/ludus/bestiaire/betes-017-grizzly.jpg?height=200&width=149,Grizzly,"Habitant dans les montagnes, n’hésites pas à défendre son territoire", , 8,, 25, 15, 10, 15, 3, 3, 150, 50,"2 : Fourrure de bonne qualité
12 : Griffe aiguisée",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464011138424/univers/ludus/bestiaire/bottoeil%20nocturne.jpg,Bottoeil Nocturne,, Attaque en utilisant la magie. Peut utiliser :Silence, 8,, 1, 15, 25, 15, 3, 3, 150, 50,12 : Bottes de l'Aventurier,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464010991350/univers/ludus/bestiaire/fantome.jpg?height=200&width=128,Fantôme,Âme de revenants hantant les vivants, Attaque avec Rayon Ardent. Ne peut pas être touché avec des attaques physiques., 9,, 1, X, 20, 20,4 ,3 , 150, 75,,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464711549591/univers/ludus/bestiaire/araign%C3%A9e.jpg?height=151&width=200,Araignée,"Créature que l'on trouve en grand nombre, efficace pour chassé les Mouchpics ou les aventuriers...", Toile gluante, 9,, 20, 15, 15, 15, 5, 4, 160, 70,7 : venin,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464732815376/univers/ludus/bestiaire/creatures-inorganiques-001-limon.jpg?height=200&width=149,Blob,Son corps est composé d'acide. Ne pas l'attaquer avec son arme sous peine qu'elle soit dissoute., Jet d'acide, 9,, X, 0, 15, 15, 5, 2,150, 75,,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464711657409/univers/ludus/bestiaire/g%C3%A9ant%20de%20pierre.jpg?height=200&width=176,Géant de Pierre,"Ennemi très résistant aux attaques physiques, plus sympa a voir de loin que de près.", , 10,, 30, 40, 0, 15, 3, 3, 180, 100,"6,7,8 : Roche",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464003885737/univers/ludus/bestiaire/gargouille.jpg?height=200&width=131, Gargouille,, Regard Pétrifiant, 10,, 30, 12, 12, 12, 4,3, 200, 100,3 : Fragment  de pierre magique maléfique,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464014183022/univers/ludus/bestiaire/canniboite.jpg,Coffre Animé,Se cache en imitant un coffre au trésor et vous attaque quand vous essayez de l'ouvrir, Attaque en utilisant la magie. Peut utiliser :Silence Total, 10,, 30, 20, 0, 0, 5, 2, 200, 100,7 : 500 crédits,Un peu partout
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464003941756/univers/ludus/bestiaire/squelette2.jpg?height=200&width=147, Squelette,D'ancien aventurier revenu à la vie grâce à la nécromancie., , 11,,  35, 12, 12, 12, 6, 3, 200, 120,12 : Glaive de l'Aventurier,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465503709624/univers/ludus/bestiaire/tronc-bine.jpg?height=200&width=200,Tronc-bine,Ce monstre se camoufle parmi les arbres pour attaquer les groupes d'aventuriers., Racine, 12,, 40, 20, 20, 20, 7, 3, 250, 115,10 : Herbe médicinale,Ile du Nord de MiddleTown
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464003970144/univers/ludus/bestiaire/zombie.jpg?height=200&width=135, Zombie,Ces créatures reviennent à la vie sans cesse., , 12,, 40, 12, 12, 12, 5, 2, 100, 120,4 : Massue Basique,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464004011122/univers/ludus/bestiaire/momie.jpg?height=200&width=155, Momie,"Enveloppé dans leurs bandages leur corps sont mieux conservé que les zombies, et donc plus puissant", , 13,, 40, 20, 1, 30, 6, 3, 100, 150,12 : Collier de l'Aventurier,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465503638395/univers/ludus/bestiaire/limace.jpg?height=165&width=200,Limace,"Ces bestioles sont inoffensive... quand elles font 5 cm, beaucoup moins quand elles en font 5 mètres ", Nuage de PoisonAccélération, 14,, 40, 20, 20, 30, 5, 3, 220, 140,,Ile du Nord de MiddleTown
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464026053916/univers/ludus/bestiaire/Habitant%20des%20marais.jpg?height=200&width=139,Habitants des Marais,,, 14,, 40, 20, 25, 20, 6, 3, 200, 150,9 : Silex,Les Marécages de MiddleTown
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465503975806/univers/ludus/bestiaire/Emora.jpg?height=200&width=157,Emora,Croisement entre une plante carnivore et un serpent agressif. Il fallait en plus qu'il transporte des maladies... , Rayon de Fièvre, 15,, 45, 20, 20, 20, 6,3 , 210,140 ,8 : Langue de Serpent,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464026589702/univers/ludus/bestiaire/cr%C3%A9ature%20des%20marais.jpg?height=188&width=200,Créature des Marais,"Les marécages possédaient autrefois beaucoup de prédateurs très puissants que les humains craignaient. Ensuite cette créature est apparue, depuis ils n'y a plus ces prédateurs.", Peut utiliser Camouflage., 15,, 45, 20, 20, 25, 6, 3, 200, 150,12 : Pics Vénéneux,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465504182492/univers/ludus/bestiaire/zezirh.png?height=200&width=175,Zezirh,, , 15,, 48, 25, 10, 25,6 , 5, 280, 150,"3 : Peau de Serpent
11 : Langue de Serpent",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464004059682/univers/ludus/bestiaire/demi-liche.jpg,Demi-Liche Acecerak,, .Ennemi IntelligentRegard PétrifiantRegard IncandescentRestauration de Cadavre (une fois seulement), 15,, 50, 25, 30, 25, 6, 3, 300, 500,"2 : Rubis
12 : Diamant",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464813509809/univers/ludus/bestiaire/myconide.jpg?height=200&width=172,Myconide,Ces créatures apparaissent souvent , Ronces, 16,, 10, 20, 30, 30, 6, 3, 250, 160,4 ou 9 : Champignons,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1553092332694/univers/ludus/bestiaire/Otyung.png?height=145&width=200,Othyung,Cette créature s'est réfugié dans les mines abandonnée de Cathay pour fuir l'industrialisation massive., Morsure TripleCoup de QueueTunnel, 16,, 70, 30, 0, 30, 6, 4, 200, 160,8 : Dent Aiguisée,Cathay
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465504079048/univers/ludus/bestiaire/feu%20follet.jpg?height=200&width=200,Feu Follet,, Brasier. Donne l'état incendié à tout adversaire l'attaquant physiquement., 16,, 10, 0, 30, 30, 5, 3, 260, 160,4 : Cendres,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1476128290410/univers/ludus/bestiaire/requins.jpg?height=123&width=200,Requins,Prédateurs des Océans des plus redoutables, Crocs bestiales, 16,, 60, 20, 0, 20, 5, 5, 240, 160,"5,6,7 et 8 : Poisson
2 et 12 : 10 orichalques",Dimension
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1464026637632/univers/ludus/bestiaire/monstre%20des%20marais.jpg?height=200&width=197,Monstre des Marais,, Ennemi Intelligent.Peut utiliser Choc Boule de Feuet Poussée, 17,, 50, 25, 30, 25, 6, 3, 300, 200,12 : carapace reptilienne,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1476127188897/univers/ludus/bestiaire/Gobul.jpg?height=149&width=200,Gobul,Il s'enterre dans le sable pour mieux piéger ses proies., Projection d'épines, 17,, 50, 30, 30, 25, 6, 3, 250, 170,"8 : Carapace reptilienne
4 et 9 : 15 orichalques",Dimension
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1477732516151/univers/ludus/bestiaire/Rat%20Caille.jpg?height=165&width=200, Rat Caille,"Lycanthrope, ces humain-rat sont un vrai fléau à Garriot.", PO : +2 Ne rate jamais sa cible., 17,, 45, 35, 10, 35, 6, 5, 300, 170,12 : Épée Rasoir,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1477732555442/univers/ludus/bestiaire/Rat%20Batteur.jpg?height=200&width=195, Rat Batteur,"Puissant rat, il a mis tous les rat cailles à son service. ", Son boulet au pied lui permet de ne pas être poussé.Coup Puissant, 18,, 50, 35, 10, 35, 6, 5, 350, 180,12 : Boulet de Bagnard,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1476128012080/univers/ludus/bestiaire/octolacanthe.jpg?height=149&width=200,Octolacanthe,"Ses épines électriques sont redoutables, surtout sous l'eau", ChocParalyse l'ennemi en cas d'attaque s'il fait 6, 18,, 35, 35, 42, 30, 6, 3, 260, 180,"9 : sérum antipoison
5 et 7 : 20 orichalques",Dimension
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1522008217744/univers/ludus/bestiaire/coffre%20anim%C3%A93.jpg?height=200&width=187,Coffre Hanté,Ces créatures se font passer pour des coffres pour mieux attaquer leurs proies., Ne craint pas la magie. Silence Totale, 18,, 50, 40, X, X, 6, 2, 310, 185,7 : 1000 crédits,Partout
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465399572224/univers/ludus/bestiaire/orc.jpg,Fervent Orc de la Horde,"Aïe! Ça pique , c'est gros c'est pas très propre et ça a de la force!!", Son Armure l’empêche d'être immobilisé.Coup Puissant, 19,, 60, 40, 10, 40, 5, 5, 320, 190,12:Dent d'Orc,Gariott
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1484492171125/univers/ludus/bestiaire/Abysaurus.jpg?height=200&width=143, Requin Lance,Jeune requin encore en formation., PO +2Crocs BestialesSa peau lisse l'empêche d'être immobilisé., 19,, 65, 45, 10, 45, 5, 5, 330, 190,"4 : Nageoire Dorsale
12 : Lance du Requin",Gariott
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1489483024451/univers/ludus/bestiaire/revenant.jpg?height=200&width=145,,"Issue des expériences d'Anhjiir, ces créatures sont les anciens villageois transformés en ses fidèles serviteurs laissés sur place.(créature mort-vivante)", Ronces, 19,, 65, 45, 60, 45, 5, 5, 700, 190,,Wozniak
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465399343786/univers/ludus/bestiaire/index.jpg,Troll des Forêt,Il pourrait vous tuer avec son poison si vous ne le faites pas avant , piège primitifCorde RampanteEmpoisonne lors d'une attaque s'il fait 6., 20,, 55, 45, 52, 45, 6, 4, 350, 200,7:venin 11 : Os de Troll,Gariott
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465400233077/univers/ludus/bestiaire/murloc.jpg,,Créature pas si inoffensive que ça en groupe, Gagne 3 PM dans l'eau.Coup Puissant. ne peuvent jamais être moins de 3. immunisé contre le feu., 20,, 55, 45, 25, 45, 6, 4, 340, 200,7:langue de serpent,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1477739882041/univers/ludus/bestiaire/naga.jpg?height=124&width=200,Naga ,, Sphère d'Aura, 20,, 30, 45, 55, 45, 6, 4, 380, 210,4 et 10 : Poudre Psy,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1477825742769/univers/ludus/bestiaire/Geckomandre.jpg?height=160&width=200,Geckomandre,Ce monstre se trouve régulièrement dans les endroits chaud et sombre. Sa peau peut dégager la chaleur d'un soleil.," CamouflageBrasierLangue Préhensible(ne craint pas les attaques feu, perd deux fois plus de PV contre les attaques Eau)", 20,, 30, 50, 50, 30, 6, 4, 300, 200,10 : Pics de Flamme,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465504685983/univers/ludus/bestiaire/golemalchimique.png?height=200&width=142,Golem Alchimique,, Boulet RougeCercle de DésintégrationRegard Pétrifiant, 20,, 60, 35, 40, 35, 6, 3, 400, 250,12 : Rune Élémentaire Feu,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1476436657751/univers/ludus/bestiaire/dragon%204.jpg?height=179&width=200,Dragon Mineur,Très jeune dragon d'à peine 20 ans. Ne maitrise pas encore ses capacités., Flammes de BannissementCréature IntelligenteEnnemi volant, 20,, 60, 40, 40, 40, 6, 4, 600, 220,"2 : Écaille de Dragon
4 : Griffe de Dragon
10 : griffe de Dragon
12 : Écaille de Dragon",Territoire des Dragons de Greyhawk
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1480886933342/univers/ludus/bestiaire/ahriman.jpg,Ahriman,, Regard PétrifiantGriffes Bestiales, 20,, 60, 40, 30,50 , 6, 4, 450, 200,9 : Aile d'Ahriman,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1495962759609/univers/ludus/bestiaire/garde%20royaux.jpg?height=200&width=163,,"Si un adversaire venait à l'immobiliser, il est capable de se démembrer puis se remettre en état pour atteindre sa cible", Non immobilisableMort SubiteLancer de HacheImage SilencieusePiège avancé, 21,, 80, 80,80 , 80, 6,5 , 700, 210,7 : 200 crédits,Caverne Trâgu
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1479209891859/univers/ludus/bestiaire/Glouton%20des%20Glaces.jpg?height=156&width=200,Glouton des Glaces,Mange tout ce qui bouge sur son territoire., Griffes BestialesCrocs Bestiales, 21,, 65, 50, 10, 30, 6, 4, 500, 210,11 : Fourrure de Glouton des Glaces,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1465400704317/univers/ludus/bestiaire/elfe%20de%20sang.jpg?height=124&width=200,,Créature intelligente., Son Armure l’empêche d'être immobilisé.Poing de SangTransposition, 21,, 70, 50, 65, 50, 7, 5, 600, 210,2: Étoffe Sanguine,Gariott
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1481008668431/univers/ludus/bestiaire/spider.jpg?height=105&width=200,AraignéeÉclaireuse,, Toile GluanteJet Acide, 21,, 50, 45,50 , 50,8 , 5, 500, 210,5 : Fil de Soie,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1480885789351/univers/ludus/bestiaire/Akhlut.jpg?height=200&width=141,Akhlut,, Crocs bestialesCoup de Queue, 21,, 70, 50, 10, 50, 6, 5, 500, 210,"4 : Nageoire Dorsale
12 : Éclats d'Eau",Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1521996315078/univers/ludus/bestiaire/Blob%20costaud.jpg?height=200&width=200,Blob Costaud,Il semblerait que les blobs aussi ont plusieurs niveaux d'évolution. Ne pas l'attaquer avec son arme sous peine qu'elle soit dissoute. , Jet D'AcideConcentration(évolue en blob guerrier), 22,, X, 0, 60, 60, 6, 1, 500, 250,,    Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1485799967513/univers/ludus/bestiaire/Golem.png?height=200&width=149,Golem,La seul créature de Garriot pouvant survivre aux coups de Thrall. Enfin certains survivent... Les autres préfèrent se cacher., Trop imposant pour être poussé et immobilisé.Lancer de Roche, 22,, 70, 15 000, 0, 50, 6, 4, 500, 250,"7 : Roche
12 : Herbe Médicinale",Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1522009941994/univers/ludus/bestiaire/susurrus.png?height=182&width=200,Susurrus,, Renvoi tous les sorts sur leurs ennemis., 22,, 70, 50, 0, X, 6, 4, 400, 250,"7 : Roche
12 : Aluminite",Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1480885505132/univers/ludus/bestiaire/Ancre%20Shark.jpg?height=200&width=141, Requin Ancre,"Sentinelle du Capitaine Requin, se sont les premiers que vous trouverez si vous le cherchez.", Crocs BestialesCoup de QueueNe peut être poussé., 22,, 70, 50, 30, 50, 6, 4, 600, 220,"4 : Nageoire Dorsale
12 : Ancre",Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1480885668904/univers/ludus/bestiaire/requin%20trident.jpg?height=200&width=178, Requin Trident,"Requin de la garde rapproché du Capitaine. Si vous le cherchez, c'est que vous n'êtes plus très loin. Si vous le le cherchiez pas, faites demi-tour.", Crocs BestialesPossède le Trident du requinÉclair, 22,, 70, 50, 60, 50, 6, 5, 600, 220,"4 : Nageoire Dorsale
12 : Trident du Requin",Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1489482903558/univers/ludus/bestiaire/necronaute.png?height=200&width=178,Necronaute,, Regard Pétrifiant MultidirectionnelRayon MortelToile Gluante, 22,, 75, 55, 60, 55, 6, 5, 700, 220,8 : Crâne,Wozniak
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1480885712017/univers/ludus/bestiaire/Captain%20Shark.jpg?height=200&width=159,Capitaine Requin,"Capitaine des requins de Garriot, sa puissance fait trembler les marins les plus endurcis", Créature intelligente.Crocs BestialesMangeur d’ÉnergieDéferlanteRegard AttentifMangeur de Routine, 23,, 75, 60, 60, 60, 6, 5, 750, 230,"4 : Nageoire Dorsale
11 : Sabre du Requin
12 : Clef du Capitaine Requin",Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1489483600835/univers/ludus/bestiaire/zombie2.jpg?height=200&width=135,Vengeurs,"Avec les particules de magie restant sur la planète, les esprits des villageois se matérialisent gardant toute leur rancœur.(créature mort-vivante)", PersécutionAir Nauséabond, 23,, 75, 55, 75, 55, 6, 5, 750, 230,2 : Médaillon Souvenir de Wozniak,Wozniak
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493630323712/univers/ludus/bestiaire/loup%20chantant%202.jpeg?height=200&width=175,Loup Chantant,, Chant Rêveur, 23,, 75,55 , 0, 100, 6,5 , 900, 230,"4 : Crocs de Loup
8 : Dent de Loup",Axrenox
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493630559847/univers/ludus/bestiaire/humain%20bestial.jpeg?height=200&width=142,Humain Bestial,Un humain plus proche du monstre bestial que de l'humain.Son sens du combat est très développé , Chant Bestial, 23,, 70, 55, 100, 100, 6, 5, 950, 230,"2 : Corne Bestiale
4 : Hache de Guerre
10 : Hache de Guerre",Axrenox
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493630894927/univers/ludus/bestiaire/chose%202.jpeg?height=200&width=161, Chose,, AttractionEtreinte, 24,, 80,55 ,0 ,120 , 5,5 , 1000, 250,2 : Médaillon Souvenir d'Axrenox,Axrenox
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1495540242837/univers/ludus/bestiaire/pretre%20demoniaque.jpg?height=178&width=200,Prêtre Démoniaque,"Au service d'un culte sombre, se prêtre a développé des pouvoirs psychiques impressionnants. ", Ennemi IntelligentCercueilCorps SoupleEscalier aux 100 marches, 24,, 80, 60, 85, 130, 6, 5, 1100, 550,2 : Orbe Magique,Axrenox
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493631073397/univers/ludus/bestiaire/bete%20desincarn%C3%A9.jpeg?height=112&width=200, Bête désincarnée,Se déplace constamment sous terre et surgit pour éliminé sa proie., TunnelNe peux être blessé que par des attaques Terre, 24,, 80,55 , 100, 150, 6,6 ,1200 , 1000,12 : Parchemin de Sort Tunnel,Axrenox
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493903550724/univers/ludus/bestiaire/lanterne3.png?height=200&width=153,Lanterne Spectrale,, Diffusion de Cendres (prioritaire au premier tour), 24,, 100,20 , 80,20 ,10 ,4 , 1100, 240,10 : Cendres,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1560345058202/univers/ludus/bestiaire/71e7795d9e9cfd141fe5a6552756920a1f6da4b4_00.jpg,Raijuu,On retrouve régulièrement cette créature dans le zone chargé d'électricité. Une créature mignonne qu'il vaut mieux éviter de caresser. ,Mangeur d'énergieManipulation à distanceEclairDisparitionCanon d'éclair RugissantTéléportation, 24,, 0, 100, 75, 100, 8, 6, 1500, 1200,,Banquioria
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493631295066/univers/ludus/bestiaire/Louve%20mysterieuse.jpeg?height=200&width=149,Louve Mystérieuse,Transforme les hommes en bêtes monstrueuses... ou trop mignonne selon les gouts., Créature intelligenteChant des Démons, 25,,90 ,60 , 100,160 , 6, 6, 1200, 3000,"2 : Parchemin de Sort Chant des Démons
4 : Crocs de Loup
8 : Dent de Loup
9 : Orbe Magique",Axrenox
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1489589517903/univers/ludus/bestiaire/kraal.png?height=200&width=161,Kraal,, Variable, 25,, 90, 70, 80, 70, 6, 5, 900, 250,"2 : Rune E Boost
3 : Rune E Glace
4 : Rune E Feu
5 : Rune E Eau
6 : Rune E Air
8 : Rune E Lumière
9 : Rune E Ténèbres
10 : Rune E Terre
11 : Rune E Soin
12 Rune E Compétence",Partout
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1521997153120/univers/ludus/bestiaire/blob%20guerrier.jpg?height=200&width=200,Blob Guerrier,C'est encore un blob ? A oui je viens de perdre mon arme..., Jet d'AcideConcentrationRéduit par 2 les dommages physiques.(évolue en blob dragon), 25,, X, 0, 100, 80, 6, 2, 1000, 300,,Garriot
